g = [('a', 8), ('b', 12), ('a', 12), ('b', -4), ('a', -9), ('b', -11), ('a', -5), ('b', -1), ('a', 15), ('b', -15), ('a', -3), ('b', 7), ('a', -12), ('b', -4), ('a', 8)] n=15, fixed words = 9568503
g = [('b', 10), ('a', 6), ('b', -2), ('a', -9), ('b', -2), ('a', 12), ('b', 15), ('a', 1), ('b', 9), ('a', -10), ('b', 6), ('a', -1), ('b', -15), ('a', 8), ('b', 9)] n=15, fixed words = 11053665
g = [('a', 12), ('b', 10), ('a', 6), ('b', 14), ('a', 13), ('b', -1), ('a', -1), ('b', 2), ('a', -7), ('b', -14), ('a', -5), ('b', 10), ('a', -11), ('b', -2), ('a', 12)] n=15, fixed words = 9568503
g = [('a', -3), ('b', 14), ('a', -1), ('b', 3), ('a', 10), ('b', -7), ('a', 11), ('b', 2), ('a', 2), ('b', -12), ('a', 10), ('b', 14), ('a', -8), ('b', 3), ('a', -13)] n=15, fixed words = 9568503
g = [('a', 2), ('b', -1), ('a', 4), ('b', 8), ('a', -4), ('b', 5), ('a', -13), ('b', 12), ('a', 10), ('b', 2), ('a', -1), ('b', 12), ('a', 15), ('b', 7), ('a', -6)] n=15, fixed words = 11464173
g = [('a', 10), ('b', 11), ('a', -15), ('b', 13), ('a', 8), ('b', 4), ('a', 14), ('b', -4), ('a', -2), ('b', 9), ('a', 14), ('b', -14), ('a', 9), ('b', -12), ('a', 14)] n=15, fixed words = 9568503
g = [('a', -4), ('b', -4), ('a', -11), ('b', -12), ('a', -15), ('b', 5), ('a', 1), ('b', 3), ('a', 2), ('b', 8), ('a', 13), ('b', 8), ('a', -15), ('b', 2), ('a', 14)] n=15, fixed words = 10941075
g = [('a', -4), ('b', -15), ('a', 7), ('b', 5), ('a', 10), ('b', -15), ('a', -1), ('b', -12), ('a', -6), ('b', -7), ('a', 1), ('b', -5), ('a', 10), ('b', 5), ('a', 10)] n=15, fixed words = 11549061
g = [('a', -15), ('b', 10), ('a', 6), ('b', 2), ('a', 4), ('b', 8), ('a', -10), ('b', -7), ('a', -10), ('b', -1), ('a', -15), ('b', -11), ('a', 6), ('b', 4), ('a', -10)] n=15, fixed words = 9568503
g = [('b', -7), ('a', 3), ('b', 1), ('a', 15), ('b', -8), ('a', -13), ('b', -6), ('a', 1), ('b', -12), ('a', 14), ('b', -14), ('a', -4), ('b', 1), ('a', -10), ('b', 13)] n=15, fixed words = 10941075
g = [('a', -6), ('b', -12), ('a', 2), ('b', 4), ('a', -1), ('b', -15), ('a', 11), ('b', -6), ('a', 6), ('b', -10), ('a', 15), ('b', -15), ('a', 3), ('b', -3), ('a', -1)] n=15, fixed words = 11008791
g = [('a', 15), ('b', -15), ('a', -15), ('b', 14), ('a', 5), ('b', 6), ('a', 15), ('b', 7), ('a', 13), ('b', -10), ('a', 11), ('b', -15), ('a', 6), ('b', -10), ('a', 6)] n=15, fixed words = 9568503
g = [('a', 5), ('b', 2), ('a', 12), ('b', 4), ('a', -5), ('b', -6), ('a', 9), ('b', 8), ('a', -12), ('b', -1), ('a', -11), ('b', -10), ('a', 15), ('b', 1), ('a', -11)] n=15, fixed words = 9568503
g = [('a', 3), ('b', 12), ('a', 10), ('b', 7), ('a', -11), ('b', 9), ('a', -11), ('b', -14), ('a', 1), ('b', 15), ('a', 2), ('b', 11), ('a', -9), ('b', 11), ('a', -6)] n=15, fixed words = 12539286
g = [('a', -3), ('b', -12), ('a', -5), ('b', -7), ('a', -9), ('b', -8), ('a', -2), ('b', -13), ('a', 2), ('b', -10), ('a', -10), ('b', 3), ('a', 14), ('b', -10), ('a', -13)] n=15, fixed words = 10941075
g = [('a', -11), ('b', 3), ('a', -9), ('b', -6), ('a', 14), ('b', -13), ('a', 1), ('b', 4), ('a', 2), ('b', -8), ('a', -3), ('b', -13), ('a', 1), ('b', -8), ('a', -10)] n=15, fixed words = 11008791
g = [('b', -8), ('a', -15), ('b', 13), ('a', -10), ('b', 15), ('a', -9), ('b', 10), ('a', 14), ('b', -13), ('a', -12), ('b', 7), ('a', 10), ('b', -11), ('a', -15), ('b', 2)] n=15, fixed words = 11039328
g = [('b', -5), ('a', 13), ('b', 14), ('a', 3), ('b', -8), ('a', 15), ('b', 2), ('a', 9), ('b', 4), ('a', 3), ('b', -2), ('a', -15), ('b', -3), ('a', -12), ('b', -2)] n=15, fixed words = 11736900
