g = [('b', -9), ('a', -1), ('b', -9), ('a', -4), ('b', -7), ('a', 1), ('b', -6), ('a', 2), ('b', 7), ('a', -15), ('b', 10), ('a', -14), ('b', 5), ('a', 6), ('b', -7)] n=20, fixed words = 1958440401
g = [('a', 3), ('b', -7), ('a', 5), ('b', -1), ('a', -7), ('b', 6), ('a', 8), ('b', -15), ('a', -7), ('b', 10), ('a', -8), ('b', 6), ('a', 14), ('b', 7), ('a', -9)] n=20, fixed words = 2382659334
g = [('b', -11), ('a', 12), ('b', 8), ('a', -3), ('b', -6), ('a', -5), ('b', 3), ('a', -14), ('b', -15), ('a', -1), ('b', -11), ('a', -12), ('b', 13), ('a', 5), ('b', -13)] n=20, fixed words = 2512833138
g = [('b', 9), ('a', 9), ('b', 9), ('a', -1), ('b', -1), ('a', 5), ('b', 5), ('a', -9), ('b', -6), ('a', 10), ('b', -9), ('a', 1), ('b', 5), ('a', 3), ('b', -4)] n=20, fixed words = 2491231923
g = [('a', -3), ('b', -9), ('a', -10), ('b', 5), ('a', 5), ('b', -9), ('a', 9), ('b', -5), ('a', -9), ('b', 6), ('a', 5), ('b', 1), ('a', -10), ('b', 4), ('a', 15)] n=20, fixed words = 1958440401
g = [('a', -15), ('b', 9), ('a', 6), ('b', 14), ('a', -9), ('b', 15), ('a', -3), ('b', 5), ('a', 13), ('b', 5), ('a', -14), ('b', 15), ('a', 3), ('b', -5), ('a', 3)] n=20, fixed words = 1958440401
g = [('b', -15), ('a', 12), ('b', -3), ('a', -4), ('b', 14), ('a', -9), ('b', -8), ('a', -15), ('b', 9), ('a', -6), ('b', -14), ('a', -5), ('b', 5), ('a', 9), ('b', 6)] n=20, fixed words = 3004422192
g = [('a', -12), ('b', 4), ('a', 2), ('b', -8), ('a', 7), ('b', 2), ('a', 11), ('b', -9), ('a', -12), ('b', -8), ('a', -1), ('b', 10), ('a', 7), ('b', -15), ('a', -6)] n=20, fixed words = 2366629218
g = [('a', -15), ('b', -6), ('a', -5), ('b', -13), ('a', -1), ('b', 2), ('a', -5), ('b', 5), ('a', -7), ('b', -3), ('a', 6), ('b', -5), ('a', 8), ('b', 3), ('a', 13)] n=20, fixed words = 2383035174
g = [('a', -6), ('b', 5), ('a', 6), ('b', 9), ('a', -13), ('b', 1), ('a', 5), ('b', -6), ('a', -15), ('b', -1), ('a', 4), ('b', 6), ('a', 4), ('b', -2), ('a', 15)] n=20, fixed words = 3082286520
g = [('a', -2), ('b', 13), ('a', 9), ('b', 10), ('a', -1), ('b', 5), ('a', 4), ('b', -9), ('a', -3), ('b', -3), ('a', 2), ('b', -7), ('a', 2), ('b', 4), ('a', 7)] n=20, fixed words = 2492871849
g = [('b', -1), ('a', -9), ('b', -2), ('a', -7), ('b', 2), ('a', 5), ('b', -5), ('a', -1), ('b', 7), ('a', -15), ('b', -8), ('a', 14), ('b', 2), ('a', 6), ('b', 3)] n=20, fixed words = 1958440401
g = [('b', 9), ('a', 13), ('b', -8), ('a', 4), ('b', 10), ('a', 4), ('b', -10), ('a', 3), ('b', -10), ('a', 4), ('b', -9), ('a', -11), ('b', 5), ('a', 15), ('b', 12)] n=20, fixed words = 1958440401
