g = [('b', 7), ('a', -2), ('b', 1), ('a', 10), ('b', 10), ('a', -2), ('b', -6)] n=100, fixed words = 149882374165035591230821313705841604531308638211
g = [('a', -5), ('b', 10), ('a', -6), ('b', 7), ('a', -5), ('b', 3), ('a', -4)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -10), ('b', -8), ('a', 2), ('b', 9), ('a', 2), ('b', -9), ('a', 3)] n=100, fixed words = 75649526272923369506939299808154614415720293430
g = [('a', -3), ('b', -1), ('a', 7), ('b', 4), ('a', -1), ('b', -8), ('a', 8)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 8), ('a', 9), ('b', 4), ('a', -3), ('b', -10), ('a', -4), ('b', -10)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 6), ('b', -10), ('a', 2), ('b', 5), ('a', 8), ('b', -10), ('a', -1)] n=100, fixed words = 149882374165035591230821313705841604531308638211
g = [('a', -2), ('b', 3), ('a', 10), ('b', -4), ('a', -7), ('b', 1), ('a', 5)] n=100, fixed words = 258861300165705807289828312293177962486171077014
g = [('b', -3), ('a', -2), ('b', -10), ('a', -2), ('b', -5), ('a', -9), ('b', 10)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -9), ('b', 1), ('a', -8), ('b', -8), ('a', 4), ('b', 2), ('a', 9)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 1), ('b', -4), ('a', -4), ('b', 3), ('a', 10), ('b', -10), ('a', -7)] n=100, fixed words = 119681809979391877344741622807211402525699023329
g = [('b', 6), ('a', 10), ('b', 6), ('a', 4), ('b', 1), ('a', 7), ('b', -4)] n=100, fixed words = 217521841803962166231198860038309166220103052523
g = [('b', 5), ('a', 7), ('b', -3), ('a', 10), ('b', 8), ('a', -7), ('b', 4)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 3), ('a', 6), ('b', 10), ('a', -6), ('b', 5), ('a', 2), ('b', 10)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -6), ('a', 4), ('b', -7), ('a', -2), ('b', 4), ('a', -2), ('b', -1)] n=100, fixed words = 109845795232616314524094348748157984763180813416
g = [('a', -1), ('b', 5), ('a', -2), ('b', -4), ('a', -9), ('b', 3), ('a', -7)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -9), ('a', -7), ('b', -8), ('a', 5), ('b', -1), ('a', -8), ('b', 1)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -1), ('b', -3), ('a', 2), ('b', 7), ('a', 1), ('b', -5), ('a', -9)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -3), ('a', 9), ('b', -1), ('a', -8), ('b', -10), ('a', -9), ('b', 2)] n=100, fixed words = 75649526272923369506939299808154614415720293430
g = [('a', 7), ('b', -9), ('a', 4), ('b', -5), ('a', -1), ('b', -6), ('a', 8)] n=100, fixed words = 103238647344949143956929133725600122645576650367
g = [('b', -9), ('a', -5), ('b', -3), ('a', 1), ('b', 1), ('a', 4), ('b', -6)] n=100, fixed words = 119417644133249647166124210207383461334310967245
g = [('b', -10), ('a', 4), ('b', -7), ('a', 3), ('b', -5), ('a', -2), ('b', -6)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -6), ('a', -7), ('b', 8), ('a', -7), ('b', -7), ('a', 3), ('b', -10)] n=100, fixed words = 70779550860673920256738696973375145533392231908
g = [('a', -2), ('b', -8), ('a', -9), ('b', -9), ('a', -8), ('b', 7), ('a', -10)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -9), ('a', 4), ('b', -1), ('a', -7), ('b', -8), ('a', -9), ('b', -7)] n=100, fixed words = 75167381331650159130177519833036472566580525717
g = [('b', -9), ('a', 3), ('b', -7), ('a', 3), ('b', 3), ('a', -4), ('b', -2)] n=100, fixed words = 75189708598561433785298705390161458668500797747
g = [('b', -2), ('a', -10), ('b', -7), ('a', 5), ('b', 2), ('a', -7), ('b', -7)] n=100, fixed words = 71774462711922758298891956587648897685031552180
g = [('b', 10), ('a', -1), ('b', -10), ('a', 7), ('b', -9), ('a', 10), ('b', -4)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -10), ('a', -9), ('b', -6), ('a', 9), ('b', 1), ('a', 9), ('b', 5)] n=100, fixed words = 105952974975639613512022833197144986431421737450
g = [('a', -1), ('b', 3), ('a', -10), ('b', 2), ('a', 5), ('b', 5), ('a', 6)] n=100, fixed words = 113072843701902884071651484072423099930508638502
g = [('a', -3), ('b', -10), ('a', -2), ('b', -8), ('a', 10), ('b', 3), ('a', -9)] n=100, fixed words = 72338921458747663964415515670902275010760680358
g = [('a', 9), ('b', -8), ('a', -1), ('b', 6), ('a', 9), ('b', 9), ('a', 5)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', -4), ('a', -9), ('b', 7), ('a', 2), ('b', -9), ('a', 10), ('b', 9)] n=100, fixed words = 196841234933115343683621242102094432497151835161
g = [('b', 3), ('a', -1), ('b', 5), ('a', -8), ('b', -6), ('a', -5), ('b', 2)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 9), ('a', 2), ('b', 3), ('a', 10), ('b', 10), ('a', 8), ('b', -5)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -2), ('b', 3), ('a', -10), ('b', 1), ('a', 1), ('b', 5), ('a', 5)] n=100, fixed words = 225045705816714379798171623248768721422839497588
g = [('b', -9), ('a', -1), ('b', 5), ('a', 7), ('b', 1), ('a', -5), ('b', -4)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('b', 4), ('a', -1), ('b', 9), ('a', -1), ('b', -10), ('a', 7), ('b', -2)] n=100, fixed words = 29763262633199482886345519360120838067631398155
